Incerteza Threshold,Capital Final,Acurácia (%),TradedDays,Normalização,MaxDD,FinalScore
Intervalo: 35.00%,589626.9999999999,70.37,23,none,2.5495075814497286,0.9135633848371004
Intervalo: 5.00%,503806.0,100.0,1,minmax,0.0,0.9045672
Intervalo: 5.00%,503806.0,100.0,1,power,0.0,0.9045672
Intervalo: 30.00%,570460.9999999999,73.33,17,none,2.4017620510213287,0.8997396758979572
Intervalo: 95.00%,570076.9999999997,62.96,39,none,4.365867944527752,0.864240664110944
Intervalo: 90.00%,570076.9999999997,62.96,39,none,4.365867944527752,0.864240664110944
Intervalo: 85.00%,570076.9999999997,62.96,39,none,4.365867944527752,0.864240664110944
Intervalo: 40.00%,556689.9999999999,65.0,26,none,2.5495075814497286,0.8579289848371005
Intervalo: 15.00%,525635.0000000001,76.47,6,none,2.204203512589504,0.8557635929748211
Intervalo: 20.00%,532038.0000000001,73.91,9,none,2.4621468993185163,0.8552513062013631
Incerteza não utilizada,561863.9999999997,62.65,40,none,4.359005205237956,0.8534687895895237
Incerteza não utilizada,418546.9999999999,40.82,40,minmax,11.553862988339878,0.6016086740233201
Incerteza não utilizada,418546.9999999999,40.82,40,standard,11.553862988339878,0.6016086740233201
Incerteza não utilizada,418546.9999999999,40.82,40,power,11.553862988339878,0.6016086740233201
