Incerteza Threshold,Capital Final,Acurácia (%),TradedDays,Normalização,MaxDD,FinalScore
Intervalo: 25.00%,512657.0,100.0,3,minmax,0.0,0.9151883999999999
Intervalo: 5.00%,505003.0000000001,100.0,1,none,0.0,0.9060036
Intervalo: 10.00%,505003.0000000001,100.0,1,none,0.0,0.9060036
Intervalo: 30.00%,504594.0,100.0,2,power,0.0,0.9055127999999999
Intervalo: 25.00%,504594.0,100.0,2,power,0.0,0.9055127999999999
Intervalo: 15.00%,504594.0,100.0,2,standard,0.0,0.9055127999999999
Intervalo: 5.00%,502387.0,100.0,1,minmax,0.0,0.9028643999999999
Intervalo: 20.00%,502387.0,100.0,1,power,0.0,0.9028643999999999
Intervalo: 15.00%,502387.0,100.0,1,power,0.0,0.9028643999999999
Intervalo: 10.00%,502387.0,100.0,1,power,0.0,0.9028643999999999
Incerteza não utilizada,553255.9999999995,54.55,40,none,4.294394208217165,0.818968411583565
Incerteza não utilizada,452393.0000000001,46.67,40,minmax,13.748841834082842,0.6553839163318345
Incerteza não utilizada,452393.0000000001,46.67,40,standard,13.748841834082842,0.6553839163318345
Incerteza não utilizada,452393.0000000001,46.67,40,power,13.748841834082842,0.6553839163318345
Intervalo: 95.00%,556752.0000000001,55.56,38,none,2.688944321551289,0.8294045113568975
