Incerteza Threshold,Capital Final,Acurácia (%),TradedDays,Normalização,MaxDD,FinalScore
Incerteza não utilizada,580890.9999999993,71.07,40,none,3.5125609009391767,0.9032540781981208
Intervalo: 100.00%,580890.9999999993,71.07,40,none,3.5125609009391767,0.9032540781981208
Intervalo: 95.00%,574733.9999999992,71.19,38,none,3.2876338706164105,0.8966755322587662
Intervalo: 90.00%,574733.9999999992,71.19,38,none,3.2876338706164105,0.8966755322587662
Intervalo: 85.00%,574733.9999999992,71.19,38,none,3.2876338706164105,0.8966755322587662
Intervalo: 80.00%,572803.999999999,71.05,36,none,3.291905377933863,0.893930989244131
Intervalo: 55.00%,552455.999999999,71.43,25,none,2.12725319326728,0.8729826936134641
Intervalo: 60.00%,552149.9999999991,70.65,26,none,2.12725319326728,0.8702754936134642
Intervalo: 70.00%,553499.9999999984,70.59,31,none,3.29877780264367,0.8693724443947107
Intervalo: 75.00%,551729.9999999991,69.9,32,none,3.2956985548390376,0.8651846028903208
Incerteza não utilizada,498680.9999999998,50.0,40,minmax,4.776253081188957,0.7388646938376219
Incerteza não utilizada,498680.9999999998,50.0,40,standard,4.776253081188957,0.7388646938376219
Incerteza não utilizada,498680.9999999998,50.0,40,power,4.776253081188957,0.7388646938376219
