Incerteza Threshold,Capital Final,Acurácia (%),TradedDays,Normalização,MaxDD,FinalScore
Intervalo: 25.00%,533287.0,66.67,9,standard,2.307633123520748,0.8353391337529585
Intervalo: 20.00%,520455.0000000001,70.0,10,power,2.229473458783461,0.8300870530824332
Intervalo: 25.00%,527355.9999999999,58.82,16,power,4.608789240912771,0.8000696215181744
Intervalo: 15.00%,499307.0,66.67,6,power,2.3062293824619235,0.7945659412350761
Intervalo: 100.00%,537289.9999999995,53.12,40,none,5.238595584015025,0.7936308088319693
Incerteza não utilizada,537289.9999999995,53.12,40,none,5.238595584015025,0.7936308088319693
Intervalo: 90.00%,534178.0,52.38,39,none,5.239229949206737,0.7876751401015866
Intervalo: 95.00%,534178.0,52.38,39,none,5.239229949206737,0.7876751401015866
Intervalo: 65.00%,534178.0,52.38,39,none,5.239229949206737,0.7876751401015866
Intervalo: 70.00%,534178.0,52.38,39,none,5.239229949206737,0.7876751401015866
Incerteza não utilizada,454550.9999999997,42.55,40,minmax,13.854343945085242,0.6454025121098292
Incerteza não utilizada,454550.9999999997,42.55,40,standard,13.854343945085242,0.6454025121098292
Incerteza não utilizada,454550.9999999997,42.55,40,power,13.854343945085242,0.6454025121098292
