Incerteza Threshold,Capital Final,Acurácia (%),TradedDays,Normalização,MaxDD,FinalScore
Intervalo: 25.00%,542191.9999999999,52.94,14,standard,3.276343434918144,0.8028977131301636
Intervalo: 20.00%,542191.9999999999,52.94,14,standard,3.276343434918144,0.8028977131301636
Intervalo: 25.00%,544936.0,50.0,18,none,5.224803742764253,0.7934735925144715
Intervalo: 30.00%,531904.0,50.0,18,minmax,5.512420939636647,0.7772599581207267
Intervalo: 25.00%,529454.0,47.62,17,minmax,5.512420939636647,0.7671799581207266
Intervalo: 35.00%,525776.0,45.83,20,minmax,5.512420939636647,0.7573963581207267
Intervalo: 30.00%,529037.9999999999,45.83,19,none,7.9821187851875575,0.7563713624296248
Intervalo: 45.00%,521031.9999999999,48.65,28,none,7.9821187851875575,0.7552241624296246
Intervalo: 15.00%,503798.0,50.0,2,standard,0.0,0.7545575999999999
Intervalo: 50.00%,519145.99999999977,50.0,32,none,10.321941162477179,0.7523313176750454
Incerteza não utilizada,513811.0000000003,50.0,40,none,9.466140670842892,0.7476409186583145
Incerteza não utilizada,502304.0000000002,47.92,40,minmax,9.815274279064708,0.7268942514418708
Incerteza não utilizada,502304.0000000002,47.92,40,standard,9.815274279064708,0.7268942514418708
Incerteza não utilizada,502304.0000000002,47.92,40,power,9.815274279064708,0.7268942514418708
