Incerteza Threshold,Capital Final,Acurácia (%),TradedDays,Normalização,MaxDD,FinalScore
Intervalo: 10.00%,511596.0,100.0,3,standard,0.0,0.9139151999999999
Intervalo: 10.00%,508960.00000000006,100.0,2,minmax,0.0,0.910752
Intervalo: 5.00%,505486.00000000006,100.0,1,power,0.0,0.9065832
Intervalo: 30.00%,564240.0000000002,77.78,17,standard,2.1750397313377454,0.9060779205373247
Intervalo: 5.00%,503437.99999999994,100.0,1,standard,0.0,0.9041256
Intervalo: 5.00%,503437.99999999994,100.0,1,minmax,0.0,0.9041256
Intervalo: 15.00%,534868.0,85.71,6,power,2.1766881733660197,0.8946182236532679
Intervalo: 25.00%,546506.0000000002,76.92,12,standard,2.1746771693470555,0.8822178456613061
Intervalo: 35.00%,554228.0,75.0,18,minmax,4.179625856072571,0.8817143482878549
Intervalo: 20.00%,536942.0000000002,80.0,9,power,2.178101395762153,0.879974197208476
Incerteza não utilizada,524989.0000000006,61.29,40,none,8.651574206838042,0.7965536515863246
Incerteza não utilizada,503311.0000000003,54.0,40,minmax,9.446309129983318,0.7470805817400337
Incerteza não utilizada,503311.0000000003,54.0,40,standard,9.446309129983318,0.7470805817400337
Incerteza não utilizada,503311.0000000003,54.0,40,power,9.446309129983318,0.7470805817400337
